Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score,NFeatures
Correlation,B,1,0.9718817472457886,0.9720599861514807,0.9718817591925017,0.9717932662527496,168
Correlation,B,2,0.9718817472457886,0.9718678195905425,0.9718817591925017,0.9717865920196306,144
Correlation,B,3,0.9704397916793823,0.9705095758993871,0.9704397981254506,0.9703887910151962,127
Correlation,B,4,0.968276858329773,0.9686666343210348,0.9682768565248738,0.968188487089314,105
Correlation,B,5,0.9596250653266907,0.9597853447620318,0.9596250901225667,0.9596022900848125,81
Correlation,B,6,0.9466474652290344,0.9464240136760956,0.946647440519106,0.9464871835781942,56
Correlation,S,1,0.8843373656272888,0.8865178454688157,0.8843373493975903,0.8846616405868515,172
Correlation,S,2,0.8859437704086304,0.8877552950653496,0.8859437751004016,0.8864304558834869,142
Correlation,S,3,0.8763052225112915,0.8776227470736511,0.8763052208835341,0.8763185475903715,127
Correlation,S,4,0.8594377636909485,0.8602810210814529,0.8594377510040161,0.8585993000672847,93
Correlation,S,5,0.8481927514076233,0.8476652014474273,0.8481927710843373,0.8473841033134072,80
Correlation,S,6,0.7975903749465942,0.7964119647605721,0.7975903614457831,0.7961335405362414,62
Correlation,D,1,0.9710384607315063,0.9718078038444028,0.971038477451386,0.9710714944483684,167
Correlation,D,2,0.9697972536087036,0.9705020443396493,0.9697972693421597,0.9698042134760183,139
Correlation,D,3,0.9685560464859009,0.9688717285338841,0.9685560612329334,0.9685181810253843,119
Correlation,D,4,0.9702110290527344,0.9704040498171569,0.9702110053785685,0.9701642773178868,98
Correlation,D,5,0.9569714665412903,0.9577456292911077,0.9569714522134878,0.9569274097773665,80
Correlation,D,6,0.9544890522956848,0.9549109833149084,0.9544890359950352,0.954228940955557,63
Correlation,K,1,0.9290709495544434,0.9308012397256201,0.929070929070929,0.928254998823383,171
Correlation,K,2,0.9260739088058472,0.9259407167839198,0.926073926073926,0.9255793282535744,149
Correlation,K,3,0.9310689568519592,0.9319301305862382,0.9310689310689311,0.9303902875087524,129
Correlation,K,4,0.9270729422569275,0.9275381223488672,0.9270729270729271,0.9265994128345044,95
Correlation,K,5,0.9080919027328491,0.9090517290405257,0.9080919080919081,0.9076561724583543,76
Correlation,K,6,0.8741258978843689,0.8747803468458792,0.8741258741258742,0.8730397338200265,62
